folder,2004 parquet,2008 parquet,2012 parquet,2016 parquet,2020 parquet,2024 parquet,ALL parquet,2004 CDXJ,2008 CDXJ,2012 CDXJ,2016 CDXJ,2020 CDXJ,2024 CDXJ,ALL CDXJ
01_commerce,9893,87834,166303,479993,22234286,0,22978309,9893,87834,166303,479993,22234477,36951670,59930170
02_defense,48608,687,575776,649583,609323,0,1883977,48608,687,575776,649581,609323,2254742,4138717
03_dhs,8827,119054,81172,625866,7145678,0,7980597,8827,119054,81171,625860,7145690,500055,8480657
04_doi,54653,224342,93013,131437,1245945,0,1749390,54653,224342,93012,131435,1245970,5884066,7633478
05_dol,291917,1387725,88557,413040,681837,0,2863076,291917,1387721,88548,413036,681830,722156,3585208
06_ed,1305871,2334548,510413,1814549,13644167,0,19609548,1305871,2334548,510402,1814533,13644214,27648505,47258073
07_energy,180210,384532,375961,2643048,3582196,0,7165947,180210,384532,375961,2643044,3582216,14480721,21646684
08_hhs,619149,2361866,366024,515868,7338765,0,11201672,619149,2361866,366023,515863,7338834,7594143,18795878
09_hud,291759,107238,153081,433147,5209835,0,6195060,291759,107238,153078,433141,5209832,1093454,7288502
10_justice,104092,287065,81983,500305,2340716,0,3314161,104092,287065,81983,500304,2340738,758021,4072203
11_state,472693,446918,831109,1679110,1930364,0,5360194,472693,446918,831108,1679100,1930370,6227869,11588058
12_transportation,8,185,0,199393,587433,0,787019,8,185,0,199393,587435,446437,1233458
13_treasury,51692,127851,61577,327433,16266512,0,16835065,51692,127851,61576,327431,16266532,481142,17316224
14_usda,2587862,2892923,1324049,4297471,42899421,0,54001726,2587862,2892921,1324043,4297461,42899582,90008699,144010568
15_va,675043,990134,716363,4733248,1679824,0,8794612,675043,990134,716329,4733212,1679809,3627624,12422151
